"Price","Area","Bedrooms","Agency","Id","Type","Zone","URL","Timestamp","Ascensor","Garatge","Calefacció","Electrodomèstics","NoFeature","Terrassa","Traster","Jardí","Balcó","Cuina Equipada","Armaris encastats","Safareig","Habitació suite","Vidres dobles","Llar de foc","Box tancat","Moblat","Piscina","Cuina","TV","Internet - Wifi","Planta baixa","Assolellat","Sortida de fums","Aparador","Asfaltat","Apte per fumadors","Rentavaixelles","Cultivable","Porter automàtic","Edificable","Cèntric","Rentadora","S'accepten animals","Adaptat per a minusvàlids","Aire condicionat","Altell","Alarma","Ascensor / muntacàrregues"
"1.280.000 €","400 m2",4,"Monky Houses",23053,"venda","ordino","/venda/xalet-4-habitacions-3-banys-arans/23053","2023-11-09 16:56:27.198448",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435.000 €","117 m2",3,"Monky Houses",25386,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino/25386","2023-11-09 16:56:27.869857",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298.500 €","78 m2",2,"Engel & Völkers Andorra",25960,"venda","ordino","/venda/pis-2-habitacions-2-banys-llorts-parking/25960","2023-11-09 16:56:27.923876",1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"650.000 €","133 m2",3,"468 Immo",21157,"venda","ordino","/venda/atic-3-habitacions-2-banys-ordino/21157","2023-11-09 16:56:28.314672",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"720.000 €","157 m2",3,"Engel & Völkers Andorra",25631,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa-parking/25631","2023-11-09 16:56:28.995744",0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400.000 €","92 m2",3,"Monky Houses",25072,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino/25072","2023-11-09 16:56:29.952089",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"394.000 €","118 m2",3,"Monky Houses",24076,"venda","ordino","/venda/pis-3-habitacions-2-banys-la-cortinada/24076","2023-11-09 16:56:30.023141",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"780.000 €","110 m2",3,"Engel & Völkers Andorra",25433,"venda","ordino","/venda/atic-3-habitacions-2-banys-ordino-terrassa-parking/25433","2023-11-09 16:56:31.685966",1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"420.000 €","92 m2",3,"ikka's",25332,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino/25332","2023-11-09 16:56:31.756843",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"410.000 €","115 m2",3,"Immobiliària Zona Habitable",25280,"venda","ordino","/venda/pis-3-habitacions-2-banys-la-cortinada/25280","2023-11-09 16:56:30.693084",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
